date,all,small,medium,large
2010-01-31,138600.625,104311.125,205987.5,672125.0
2010-02-28,129850.625,98748.625,194237.5,644850.0
2010-03-31,126325.0,96223.625,189237.5,591850.0
2010-04-30,124825.0,94975.0,186487.5,540975.0
2010-05-31,123975.0,93525.0,182750.0,481225.0
2010-06-30,121475.0,90025.0,182500.0,502250.0
2010-07-31,119250.0,88550.0,180312.5,511000.0
2010-08-31,113250.0,84775.0,173062.5,504000.0
2010-09-30,111500.0,84475.0,168062.5,495250.0
2010-10-31,114375.0,86725.0,170312.5,486500.0
2010-11-30,114125.0,85850.0,171250.0,492750.0
2010-12-31,115350.0,87375.0,170627.75,487500.0
2011-01-31,115825.0,86375.0,173840.25,475625.0
2011-02-28,115450.0,86375.0,172215.25,474375.0
2011-03-31,119950.0,89625.0,174815.25,465000.0
2011-04-30,121225.0,89875.0,176687.5,491250.0
2011-05-31,123500.0,92600.0,176625.0,505000.0
2011-06-30,123500.0,91475.0,176500.0,513750.0
2011-07-31,121937.5,89850.0,174217.75,519375.0
2011-08-31,126162.5,92850.0,180955.25,518125.0
2011-09-30,122875.0,90350.0,177805.25,517500.0
2011-10-31,127375.0,93950.0,179930.25,515000.0
2011-11-30,128937.5,95962.5,182098.75,520612.5
2011-12-31,127512.5,95587.5,177111.25,502987.5
2012-01-31,137300.0,102987.5,189861.25,522737.5
2012-02-29,139925.0,106762.5,194111.25,530237.5
2012-03-31,144675.0,110500.0,195375.0,532625.0
2012-04-30,149375.0,113625.0,201200.0,546562.5
2012-05-31,146050.0,111750.0,194575.0,534287.5
2012-06-30,145175.0,110500.0,192450.0,528037.5
2012-07-31,144425.0,110500.0,192950.0,521037.5
2012-08-31,141900.0,108000.0,189875.0,500896.375
2012-09-30,139975.0,107000.0,186237.5,490296.375
2012-10-31,142450.0,108975.0,187487.5,490296.375
2012-11-30,144700.0,110225.0,191987.5,481871.375
2012-12-31,146000.5,112625.0,194987.5,500062.5
2013-01-31,147500.5,112625.0,202500.0,509312.5
2013-02-28,148775.5,114125.0,207500.0,524175.0
2013-03-31,153497.5,117375.0,211250.0,557850.0
2013-04-30,162222.0,122475.0,220000.0,589669.75
2013-05-31,167472.0,126700.0,224750.0,602194.75
2013-06-30,172097.0,128475.0,228475.0,602332.25
2013-07-31,170875.0,127725.0,229725.0,589807.25
2013-08-31,168375.0,125525.0,229475.0,548375.0
2013-09-30,171375.0,127675.0,233450.0,537225.0
2013-10-31,169647.0,126675.0,234700.0,543549.0
2013-11-30,174872.0,130200.0,238950.0,551074.0
2013-12-31,174997.0,131875.0,239200.0,578799.0
2014-01-31,175497.0,132250.0,237475.0,595924.0
2014-02-28,175350.0,133000.0,237000.0,583975.0
2014-03-31,172875.0,131850.0,237750.0,597250.0
2014-04-30,175250.0,133600.0,240000.0,597262.375
2014-05-31,174475.0,132350.0,240975.0,593262.375
2014-06-30,176975.0,133600.0,243950.0,611387.375
2014-07-31,178725.0,134225.0,243700.0,591549.875
2014-08-31,178725.0,134175.0,243600.0,580612.5
2014-09-30,184250.0,139175.0,245075.0,585475.0
2014-10-31,186502.0,141925.0,243950.0,564200.0
2014-11-30,188502.0,142648.5,245450.0,585125.0
2014-12-31,197252.0,148973.5,249047.5,611050.0
2015-01-31,193752.0,146223.5,247095.0,593062.5
2015-02-28,195000.0,146261.0,246995.0,599337.5
2015-03-31,199937.5,151787.5,249245.0,600000.0
2015-04-30,203662.5,154162.5,253247.5,590025.0
2015-05-31,207412.5,156412.5,258250.0,601275.0
2015-06-30,208637.5,156125.0,261500.0,613525.0
2015-07-31,210912.5,151875.0,264100.0,599196.0
2015-08-31,209687.5,145250.0,264350.0,593946.0
2015-09-30,214687.5,144475.0,268075.0,590171.0
2015-10-31,221462.5,145725.0,273575.0,577896.0
2015-11-30,223000.0,146850.0,275387.5,575950.0
2015-12-31,223950.0,148423.5,277387.5,569950.0
2016-01-31,225200.0,151323.5,278412.5,552850.0
2016-02-29,227012.5,152548.5,280912.5,563681.25
2016-03-31,230762.5,154423.5,285475.0,564181.25
2016-04-30,236062.5,158100.0,289725.0,576681.25
2016-05-31,241062.5,159475.0,294475.0,600868.75
