date,all,small,medium,large
2012-01-31,120.0,112.37499999999994,134.5,155.99999999999997
2012-02-29,115.75,109.12499999999994,126.5,160.49999999999997
2012-03-31,115.25,109.24999999999994,124.375,167.99999999999997
2012-04-30,111.25,104.49999999999994,119.625,165.12499999999997
2012-05-31,109.5,103.99999999999994,115.125,167.37499999999997
2012-06-30,115.75,108.99999999999994,122.625,182.37499999999997
2012-07-31,117.75,111.49999999999994,124.75,166.99999999999997
2012-08-31,122.25,117.49999999999994,129.625,158.37499999999997
2012-09-30,125.75,121.24999999999994,131.5,158.87499999999997
2012-10-31,121.5,118.49999999999994,127.5,131.24999999999997
2012-11-30,117.75,114.49999999999994,123.75,140.87499999999997
2012-12-31,112.25,109.24999999999994,116.125,132.87499999999997
2013-01-31,106.75,104.74999999999994,109.0,127.87499999999997
2013-02-28,102.5,100.99999999999994,103.25,134.74999999999997
2013-03-31,101.5,100.49999999999994,101.5,126.49999999999997
2013-04-30,101.0,100.24999999999994,100.0,137.74999999999997
2013-05-31,100.0,99.24999999999994,99.125,138.24999999999997
2013-06-30,100.75,99.99999999999994,99.375,143.49999999999997
2013-07-31,104.25,103.49999999999994,101.875,159.74999999999997
2013-08-31,107.75,107.49999999999994,105.125,158.37499999999997
2013-09-30,113.0,111.99999999999994,111.25,162.12499999999997
2013-10-31,116.25,115.24999999999994,114.75,177.49999999999997
2013-11-30,114.375,112.99999999999994,113.75,167.74999999999997
2013-12-31,110.625,109.49999999999994,109.5,161.37499999999997
2014-01-31,105.875,105.24999999999994,104.0,162.74999999999997
2014-02-28,102.625,102.74999999999994,99.75,143.62499999999997
2014-03-31,102.75,103.49999999999994,98.75,146.62499999999997
2014-04-30,103.75,103.49999999999994,100.5,156.87499999999997
2014-05-31,104.5,103.99999999999994,101.25,157.74999999999997
2014-06-30,105.25,103.74999999999994,104.0,152.49999999999997
2014-07-31,103.75,100.99999999999994,104.5,148.24999999999997
2014-08-31,105.5,102.99999999999994,106.25,147.12499999999997
2014-09-30,108.25,104.49999999999994,109.75,147.99999999999997
2014-10-31,108.25,104.24999999999994,109.25,154.99999999999997
2014-11-30,107.5,102.99999999999994,109.25,163.24999999999997
2014-12-31,105.75,99.74999999999994,109.75,162.24999999999997
2015-01-31,104.75,98.49999999999994,109.25,168.87499999999997
2015-02-28,104.75,96.24999999999994,112.5,170.74999999999997
2015-03-31,109.5,100.24999999999994,117.25,163.99999999999997
2015-04-30,110.25,101.99999999999994,116.75,156.37499999999997
2015-05-31,107.0,100.74999999999994,112.0,146.12499999999997
2015-06-30,104.0,100.24999999999994,105.25,138.49999999999997
2015-07-31,98.25,97.24999999999994,97.0,135.24999999999997
2015-08-31,96.25,95.49999999999994,94.25,136.74999999999997
2015-09-30,98.5,97.49999999999994,96.25,138.87499999999997
2015-10-31,102.0,101.99999999999994,98.5,141.12499999999997
2015-11-30,103.0,102.74999999999994,100.0,142.12499999999997
2015-12-31,103.25,103.99999999999994,99.25,141.87499999999997
2016-01-31,100.75,101.99999999999994,96.5,138.99999999999997
2016-02-29,97.5,98.99999999999994,93.25,136.62499999999997
2016-03-31,97.0,99.74999999999994,92.0,135.87499999999997
2016-04-30,96.25,100.74999999999994,90.25,133.12499999999997
2016-05-31,96.5,100.49999999999994,90.75,135.37499999999997
2016-06-30,99.25,102.49999999999994,93.625,145.24999999999997
2016-07-31,102.75,104.49999999999994,96.875,156.49999999999997
2016-08-31,107.75,107.24999999999994,102.875,162.12499999999997
2016-09-30,112.5,112.49999999999994,107.375,164.99999999999997
2016-10-31,114.25,113.99999999999994,109.75,160.49999999999997
2016-11-30,111.0,110.24999999999994,108.25,147.24999999999997
2016-12-31,103.75,103.24999999999994,101.75,138.37499999999997
2017-01-31,96.75,96.24999999999994,94.75,125.74999999999997
2017-02-28,91.25,92.74999999999994,87.75,116.24999999999997
2017-03-31,88.5,91.99999999999994,83.25,115.99999999999997
2017-04-30,88.5,93.24999999999994,82.0,117.49999999999997
2017-05-31,89.25,93.74999999999994,83.0,123.37499999999997
2017-06-30,91.75,94.99999999999994,86.75,126.24999999999997
2017-07-31,93.75,95.99999999999994,89.25,126.24999999999997
2017-08-31,94.25,95.74999999999994,90.75,125.62499999999997
2017-09-30,97.5,99.24999999999994,93.75,124.24999999999997
2017-10-31,96.5,98.24999999999994,92.25,122.12499999999997
2017-11-30,94.5,96.87499999999994,90.5,118.62499999999997
2017-12-31,92.0,94.37499999999994,87.75,112.74999999999997
2018-01-31,86.25,88.12499999999994,82.5,106.87499999999997
2018-02-28,82.0,83.62499999999994,78.75,101.87499999999997
2018-03-31,79.25,79.99999999999994,76.25,95.37499999999997
2018-04-30,76.5,76.74999999999994,74.0,89.37499999999997
2018-05-31,73.25,73.24999999999994,71.25,85.62499999999997
2018-06-30,69.75,69.24999999999994,68.75,79.87499999999997
2018-07-31,67.0,65.99999999999994,67.0,77.12499999999997
2018-08-31,,,,
2018-09-30,,,,
