date,all,small,medium,large
2010-01-31,219937.5,128500.0,282225.0,816750.0
2010-02-28,202018.75,128500.0,267225.0,763375.0
2010-03-31,207543.75,139500.0,268225.0,737625.0
2010-04-30,203568.75,140000.0,267000.0,739500.0
2010-05-31,200956.25,141250.0,262225.0,749500.0
2010-06-30,191000.0,137475.0,253225.0,706562.5
2010-07-31,174062.5,123950.0,238475.0,685787.5
2010-08-31,163062.5,119700.0,229700.0,706400.0
2010-09-30,154312.5,114950.0,225975.0,718900.0
2010-10-31,152437.5,111562.5,223087.5,718337.5
2010-11-30,151875.0,111012.5,220562.5,713112.5
2010-12-31,159350.0,114775.0,225587.5,690500.0
2011-01-31,167350.0,121512.5,227962.5,655750.0
2011-02-28,169850.0,123650.0,228350.0,628250.0
2011-03-31,177325.0,129225.0,237100.0,634750.0
2011-04-30,176075.0,129212.5,233347.5,634250.0
2011-05-31,170550.0,124950.0,229472.5,659000.0
2011-06-30,172350.0,126975.0,230972.5,647500.0
2011-07-31,178375.0,134475.0,239485.0,652500.0
2011-08-31,178400.0,136950.0,236987.5,655725.0
2011-09-30,180912.5,140725.0,237237.5,613225.0
2011-10-31,180987.5,141225.0,236237.5,660337.5
2011-11-30,176237.5,136225.0,226250.0,658962.5
2011-12-31,174362.5,131225.0,227875.0,686400.0
2012-01-31,186875.0,138725.0,241625.0,710337.5
2012-02-29,193125.0,143700.0,243850.0,690836.625
2012-03-31,192875.0,143700.0,240350.0,657086.625
2012-04-30,198750.0,152350.0,241225.0,614674.0
2012-05-31,188750.0,145850.0,228725.0,585236.5
2012-06-30,188725.0,145500.0,232475.0,597737.375
2012-07-31,191225.0,149225.0,235725.0,615112.375
2012-08-31,193350.0,138325.0,237975.0,602612.5
2012-09-30,198350.0,141050.0,244225.0,650862.5
2012-10-31,194350.0,136400.0,245500.0,630975.0
2012-11-30,192075.0,130150.0,250975.0,649950.0
2012-12-31,194675.0,142925.0,257225.0,687200.0
2013-01-31,193425.0,140450.0,259700.0,682200.0
2013-02-28,201200.0,147975.0,262175.0,743975.0
2013-03-31,211200.0,156750.0,266950.0,743750.0
2013-04-30,218475.0,160500.0,271950.0,742750.0
2013-05-31,227225.0,170475.0,274225.0,725000.0
2013-06-30,227725.0,170225.0,277925.0,675500.0
2013-07-31,227750.0,171450.0,280425.0,700500.0
2013-08-31,230218.75,174450.0,282925.0,744625.0
2013-09-30,244968.75,184225.0,297925.0,763375.0
2013-10-31,250693.75,185725.0,304000.0,807875.0
2013-11-30,255668.75,187450.0,306750.0,808100.0
2013-12-31,255700.0,187700.0,306975.0,768975.0
2014-01-31,240700.0,175450.0,297200.0,791725.0
2014-02-28,240725.0,176450.0,297450.0,772475.0
2014-03-31,238250.0,174725.0,297200.0,747250.0
2014-04-30,236500.0,169725.0,297225.0,772250.0
2014-05-31,238225.0,169700.0,298500.0,739000.0
2014-06-30,239234.375,171175.0,294750.0,738975.0
2014-07-31,236709.375,168700.0,292250.0,755350.0
2014-08-31,235959.375,171175.0,290975.0,766475.0
2014-09-30,241984.375,176200.0,299475.0,833475.0
2014-10-31,239475.0,174725.0,296975.0,830750.0
2014-11-30,244250.0,176422.0,299600.0,849375.0
2014-12-31,251750.0,179559.5,308125.0,834250.0
2015-01-31,254225.0,181809.5,308375.0,841500.0
2015-02-28,261950.0,189559.25,320875.0,855500.0
2015-03-31,262700.0,189112.25,319750.0,828112.5
2015-04-30,264175.0,187662.25,318750.0,803337.5
2015-05-31,267950.0,186769.5,317500.0,743337.5
2015-06-30,270475.0,184244.75,313722.0,731837.5
2015-07-31,276200.0,186982.25,319722.0,734475.0
2015-08-31,277225.0,187819.75,320947.0,759250.0
2015-09-30,277200.0,188937.5,323372.0,771987.5
2015-10-31,278200.0,188712.5,327150.0,783987.5
2015-11-30,281725.0,192224.875,333650.0,797737.5
2015-12-31,284850.0,198224.875,338425.0,802987.5
2016-01-31,283225.0,194499.875,339750.0,815250.0
2016-02-29,287962.5,194499.875,345748.75,803462.5
2016-03-31,290712.5,195725.0,346998.75,798462.5
2016-04-30,292587.5,193225.0,347123.75,787212.5
2016-05-31,297737.5,195950.0,349598.75,762437.5
2016-06-30,298250.0,196175.0,349600.0,761225.0
2016-07-31,298225.0,196197.5,351225.0,777225.0
2016-08-31,298475.0,198697.5,353825.0,795973.75
2016-09-30,298475.0,198447.5,358825.0,808448.75
2016-10-31,298475.0,198222.5,359075.0,822073.625
2016-11-30,298500.0,195475.0,362200.0,807323.625
2016-12-31,298475.0,191975.0,362225.0,798574.875
2017-01-31,298475.0,194475.0,359750.0,792362.375
2017-02-28,298975.0,194725.0,363475.0,779987.5
2017-03-31,298850.0,197225.0,361200.0,763737.5
2017-04-30,298874.75,197725.0,361200.0,758737.5
2017-05-31,299124.75,196250.0,360200.0,739975.0
2017-06-30,299849.75,200000.0,358974.75,727474.75
2017-07-31,299724.75,200125.0,358499.75,748724.75
2017-08-31,299700.0,200850.0,360874.75,757224.75
2017-09-30,303450.0,204850.0,366475.375,794499.75
2017-10-31,303450.5,206075.0,369700.625,828211.25
2017-11-30,306200.5,207950.0,374950.625,846961.25
2017-12-31,309950.5,210450.0,376717.375,849461.25
2018-01-31,313013.0,212450.0,379316.75,830961.25
2018-02-28,317787.5,211422.25,380841.75,822000.0
2018-03-31,322537.5,214672.25,381091.75,798750.0
2018-04-30,325062.5,218322.25,381950.0,768250.0
2018-05-31,324500.0,219822.25,379750.0,759312.5
2018-06-30,324500.0,224625.0,377475.0,733312.5
2018-07-31,322250.0,224625.0,376225.0,732787.5
2018-08-31,321000.0,223500.0,375975.0,747287.25
2018-09-30,321000.0,220112.5,377200.0,747337.25
2018-10-31,321225.0,217612.5,380975.0,783887.25
2018-11-30,,,,
2018-12-31,,,,
