date,all,small,medium,large
2012-01-31,1587.5000000000002,1412.5000000000002,1987.5,3461.875
2012-02-29,1562.5000000000002,1411.2500000000002,1912.5,3336.875
2012-03-31,1575.0000000000002,1433.7500000000002,1887.5,3461.875
2012-04-30,1587.5000000000002,1458.7500000000002,1886.25,3575.0
2012-05-31,1575.0000000000002,1446.2500000000002,1848.75,3362.5
2012-06-30,1612.5000000000002,1472.5000000000002,1898.75,3462.5
2012-07-31,1612.5000000000002,1450.0000000000002,1903.75,3387.5
2012-08-31,1600.0000000000002,1425.0000000000002,1867.5,3200.0
2012-09-30,1611.2500000000002,1425.0000000000002,1875.0,3212.5
2012-10-31,1593.7500000000002,1400.0000000000002,1856.25,3187.5
2012-11-30,1593.7500000000002,1400.0000000000002,1855.625,3212.5
2012-12-31,1593.7500000000002,1412.5000000000002,1858.75,3300.0
2013-01-31,1595.0000000000002,1425.0000000000002,1863.75,3298.75
2013-02-28,1612.5000000000002,1448.7500000000002,1882.5,3223.75
2013-03-31,1637.5000000000002,1473.7500000000002,1890.625,3198.75
2013-04-30,1662.5,1498.7500000000002,1925.0,3148.75
2013-05-31,1737.5,1586.2500000000002,2000.0,3190.625
2013-06-30,1787.5,1625.0000000000002,2050.0,3190.625
2013-07-31,1800.0,1650.0000000000002,2073.75,3228.125
2013-08-31,1825.0,1662.5,2098.75,3278.125
2013-09-30,1787.5,1612.5,2036.25,3262.5
2013-10-31,1775.0,1600.0,2030.0,3262.5
2013-11-30,1775.0,1575.0,2018.75,3200.0
2013-12-31,1762.5,1562.5,1993.75,3075.0
2014-01-31,1762.5,1537.5,2006.25,2975.0
2014-02-28,1762.5,1518.75,2012.5,2975.0
2014-03-31,1775.0,1543.75,2073.75,3075.0
2014-04-30,1787.5,1543.75,2098.75,3150.0
2014-05-31,1800.0,1568.75,2123.75,3300.0
2014-06-30,1800.0,1587.5,2123.75,3375.0
2014-07-31,1798.75,1580.0,2087.5,3225.0
2014-08-31,1796.25,1591.25,2062.5,3225.0
2014-09-30,1783.75,1566.25,2037.5,3159.375
2014-10-31,1765.0,1541.25,2011.25,3109.375
2014-11-30,1753.75,1523.75,1998.75,3184.375
2014-12-31,1756.25,1523.75,1998.75,3209.375
2015-01-31,1768.75,1548.75,2008.5,3162.5
2015-02-28,1787.5,1573.75,2041.0,3262.5
2015-03-31,1837.5,1636.25,2116.0,3375.0
2015-04-30,1850.0,1651.0,2178.5,3487.5
2015-05-31,1862.5,1663.5,2231.25,3587.5
2015-06-30,1887.5,1688.5,2262.5,3612.5
2015-07-31,1872.5,1676.0,2243.75,3500.0
2015-08-31,1883.75,1675.625,2243.75,3437.5
2015-09-30,1895.0,1675.625,2256.25,3462.5
2015-10-31,1895.0,1675.625,2256.25,3437.5
2015-11-30,1885.0,1663.125,2250.0,3512.5
2015-12-31,1885.0,1675.0,2253.5,3525.0
2016-01-31,1898.75,1712.5,2266.0,3575.0
2016-02-29,1912.375,1736.25,2291.0,3637.5
2016-03-31,1939.625,1771.25,2328.5,3700.0
2016-04-30,1956.75,1792.5,2350.0,3750.0
2016-05-31,1961.25,1787.5,2350.0,3750.0
2016-06-30,1965.75,1782.5,2350.0,3750.0
2016-07-31,1970.25,1777.5,2350.0,3750.0
2016-08-31,1974.75,1772.5,2350.0,3750.0
2016-09-30,1979.25,1767.5,2350.0,3750.0
2016-10-31,1983.75,1762.5,2350.0,3750.0
2016-11-30,1988.25,1757.5,2350.0,3750.0
2016-12-31,1961.625,1716.25,2331.25,3662.5
2017-01-31,1933.875,1676.25,2306.25,3632.25
2017-02-28,1911.25,1637.5,2293.75,3594.75
2017-03-31,1887.5,1600.0,2281.25,3544.75
2017-04-30,1893.75,1606.25,2287.5,3626.0
2017-05-31,1900.0,1618.75,2300.0,3631.25
2017-06-30,1905.0,1643.75,2300.0,3606.25
2017-07-31,1905.0,1668.75,2298.75,3593.75
2017-08-31,1905.0,1675.0,2298.75,3550.0
2017-09-30,1898.75,1675.0,2292.5,3500.0
2017-10-31,1881.25,1650.0,2287.5,3437.5
2017-11-30,1875.0,1637.5,2288.75,3431.25
2017-12-31,1872.5,1637.5,2288.75,3418.75
2018-01-31,1878.75,1643.75,2295.0,3408.75
2018-02-28,1891.25,1656.25,2312.5,3448.75
2018-03-31,1897.5,1656.25,2312.5,3427.5
2018-04-30,1912.5,1668.75,2330.0,3402.5
2018-05-31,1925.0,1675.0,2341.25,3461.25
2018-06-30,1925.0,1681.5,2334.875,3520.5
2018-07-31,1925.0,1687.75,2337.375,3548.0
2018-08-31,1911.25,1675.25,2319.875,3685.5
2018-09-30,1898.75,1662.75,2308.625,3724.25
2018-10-31,1892.5,1656.25,2302.5,3746.125
2018-11-30,,,,
2018-12-31,,,,
